MSIDN,EventType,EventDateAndTime,ServiceClass,RechargeAmount,PaymentMethod,Category,Location
971884783570,10,270120250930,160,822,03,YTH,X11
971278814050,10,270120250930,187,5500,01,YTH,X10
971867353329,10,270120250930,589,3454,03,BSC,X13
971632852327,10,270120250930,400,6373,01,STD,X13
971325026828,10,270120250930,517,5621,03,YTH,X12
971663119577,10,270120250930,003,88,03,BSC,X10
971643937825,10,270120250930,361,7032,03,STD,X11
971645242291,10,270120250930,232,27640,02,YTH,X12
971416527275,10,270120250930,035,219,02,SPL,X11
971889033438,10,270120250930,025,9093,01,STD,X11
971664148761,10,270120250930,262,6145,02,BSC,X13
971913750734,10,270120250930,424,51999,02,YTH,X13
971220442229,10,270120250930,021,59,03,YTH,X13
971964212612,10,270120250930,192,78943,01,STD,X12
971758657903,10,270120250930,309,58,02,STD,X10
971812309748,10,270120250930,168,98,01,YTH,X12
971491796187,10,270120250930,204,2397,03,BSC,X12
971505237900,10,270120250930,479,40748,01,STD,X12
971131987811,10,270120250930,220,41940,03,BSC,X10
971287022807,10,270120250930,042,89,01,BSC,X13
971647312294,10,270120250930,298,729,02,SPL,X12
971433087797,10,270120250930,273,992,02,STD,X12
971087831201,10,270120250930,175,339,02,BSC,X10
971680007154,10,270120250930,143,949,03,STD,X10
971216827892,10,270120250930,428,6753,02,SPL,X12
971873832946,10,270120250930,129,85171,01,BSC,X11
971888526356,10,270120250930,092,3515,02,STD,X12
971863302726,10,270120250930,383,44,01,STD,X12
971224309691,10,270120250930,508,10,02,SPL,X12
971580826848,10,270120250930,585,6654,01,YTH,X12
971011693486,10,270120250930,456,2947,01,SPL,X12
971956428798,10,270120250930,530,91074,01,STD,X13
971431602481,10,270120250930,422,45680,02,YTH,X11
971533189957,10,270120250930,064,10,01,STD,X10
971474977648,10,270120250930,302,82,02,BSC,X13
971598987969,10,270120250930,398,975,02,YTH,X10
971027061055,10,270120250930,466,6593,02,BSC,X12
971458235624,10,270120250930,293,4606,01,BSC,X13
971854843231,10,270120250930,411,14528,03,BSC,X13
971893774248,10,270120250930,295,67073,03,BSC,X10
971503912559,10,270120250930,548,64,01,YTH,X10
971841564574,10,270120250930,336,30188,03,SPL,X13
971869518746,10,270120250930,572,69523,03,SPL,X11
971586305784,10,270120250930,281,90,01,STD,X10
971573779838,10,270120250930,320,904,03,YTH,X10
971172024957,10,270120250930,574,3738,03,BSC,X12
971808900439,10,270120250930,306,7009,02,SPL,X10
971952459756,10,270120250930,490,64,01,SPL,X13
971742282681,10,270120250930,090,6564,02,BSC,X12
971705682739,10,270120250930,144,77,02,BSC,X10
971428189700,10,270120250930,158,53882,03,BSC,X10
971466292578,10,270120250930,152,66,03,BSC,X12
971282705396,10,270120250930,556,6655,02,SPL,X11
971679049360,10,270120250930,146,34452,02,BSC,X12
971432766719,10,270120250930,458,21,02,YTH,X13
971913514803,10,270120250930,166,8499,03,STD,X12
971274566582,10,270120250930,366,9834,02,SPL,X13
971620814034,10,270120250930,293,883,01,STD,X13
971917868159,10,270120250930,593,300,02,BSC,X13
971063963471,10,270120250930,203,9346,03,STD,X11
971399214619,10,270120250930,363,80,03,SPL,X13
971630559785,10,270120250930,270,88236,02,BSC,X12
971434080294,10,270120250930,373,5640,01,BSC,X10
971873675084,10,270120250930,165,776,03,STD,X13
971590707613,10,270120250930,168,58678,02,SPL,X13
971166201423,10,270120250930,007,76,01,YTH,X11
971212332875,10,270120250930,484,568,03,STD,X11
971546723152,10,270120250930,429,24991,02,YTH,X12
971455215815,10,270120250930,342,2411,02,BSC,X11
971516543981,10,270120250930,135,8980,01,STD,X13
971203145268,10,270120250930,438,37304,01,STD,X13
971475387888,10,270120250930,453,5194,03,BSC,X10
971512777058,10,270120250930,538,9492,03,STD,X13
971348106927,10,270120250930,002,741,01,BSC,X11
971277379477,10,270120250930,151,45743,01,YTH,X13
971391606199,10,270120250930,468,33,03,BSC,X12
971293383515,10,270120250930,336,69,01,STD,X10
971824547675,10,270120250930,510,21,03,STD,X11
971416877984,10,270120250930,335,4167,02,STD,X12
971426224617,10,270120250930,135,46,01,BSC,X10
971333116191,10,270120250930,507,76,03,SPL,X13
971519037022,10,270120250930,115,309,01,YTH,X10
971190655483,10,270120250930,199,82,02,BSC,X10
971504460464,10,270120250930,353,32017,03,BSC,X13
971878591283,10,270120250930,121,84188,01,YTH,X13
971793871150,10,270120250930,431,614,01,STD,X11
971633702518,10,270120250930,555,86,03,STD,X10
971989500445,10,270120250930,283,47,01,SPL,X12
971660293743,10,270120250930,455,62303,03,BSC,X12
971926810690,10,270120250930,054,1437,02,STD,X10
971185460039,10,270120250930,052,815,01,BSC,X11
971851578828,10,270120250930,182,57,01,BSC,X11
971434437576,10,270120250930,208,16,01,BSC,X10
971506614131,10,270120250930,447,81,02,YTH,X10
971814493074,10,270120250930,559,56731,02,STD,X12
971656258714,10,270120250930,057,70759,02,BSC,X11
971010481796,10,270120250930,402,242,01,YTH,X11
971427280412,10,270120250930,385,757,01,STD,X10
971291104820,10,270120250930,019,95,01,BSC,X11
971220277547,10,270120250930,510,3051,01,YTH,X11
971040628221,10,270120250930,261,83,02,SPL,X12
971242942888,10,270120250930,593,321,03,SPL,X11
971020509898,10,270120250930,185,91985,03,YTH,X10
971888412159,10,270120250930,386,5352,01,BSC,X13
971779104735,10,270120250930,568,6240,02,BSC,X10
971277888358,10,270120250930,310,568,02,YTH,X10
971379547153,10,270120250930,251,23,01,SPL,X12
971632011460,10,270120250930,304,46,02,BSC,X13
